Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","1","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2270","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","52.1","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","38.9","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","802","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","45.61","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","57","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3404","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","106.74","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","158.98","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2320","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","34.91","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","80.51","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","1084","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","71.83","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","78.46","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3687","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","107.42","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","165.53","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2524","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","43.47","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","71.25","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","1163","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","63.95","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","94.28","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3137","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","92.41","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","67.36","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2580","Fc","Donnée calculée"
