Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","662","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","178","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","1598","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","58","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","905","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","2225","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","146","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","82","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","5","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","21","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","350","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","2986","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","26","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","888","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","352","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","1","S","Donn?es standardis?es"
